Name,Parent Color,Hex Code,Rgb,Lab
IndianRed ,Red,0xCD5C5C ,"205, 92, 92","53.3911, 44.8364, 22.11"
LightCoral ,Red,0xF08080 ,"240, 128, 128","66.1531, 42.8173, 19.5481"
Salmon ,Red,0xFA8072 ,"250, 128, 114","67.2599, 45.2343, 29.0866"
DarkSalmon ,Red,0xE9967A ,"233, 150, 122","69.8535, 28.1791, 27.7047"
LightSalmon ,Red,0xFFA07A ,"255, 160, 122","74.7029, 31.4827, 34.542"
Crimson ,Red,0xDC143C ,"220, 20, 60","47.0298, 70.9359, 33.595"
Red ,Red,0xFF0000 ,"255, 0, 0","53.2329, 80.1093, 67.2201"
FireBrick ,Red,0xB22222 ,"178, 34, 34","39.1125, 55.9282, 37.6483"
DarkRed ,Red,0x8B0000 ,"139, 0, 0","28.0848, 51.0103, 41.2947"
Pink ,Pink,0xFFC0CB ,"255, 192, 203","83.5848, 24.1495, 3.3155"
LightPink ,Pink,0xFFB6C1 ,"255, 182, 193","81.0526, 27.9688, 5.0255"
HotPink ,Pink,0xFF69B4 ,"255, 105, 180","65.4818, 64.2509, -10.6598"
DeepPink ,Pink,0xFF1493 ,"255, 20, 147","55.9543, 84.5562, -5.7147"
MediumVioletRed ,Pink,0xC71585 ,"199, 21, 133","44.7616, 71.0068, -15.1824"
PaleVioletRed ,Pink,0xDB7093 ,"219, 112, 147","60.5648, 45.5273, 0.3917"
Coral ,Orange,0xFF7F50 ,"255, 127, 80","67.2905, 45.3615, 47.4898"
Tomato ,Orange,0xFF6347 ,"255, 99, 71","62.2014, 57.8615, 46.4166"
OrangeRed ,Orange,0xFF4500 ,"255, 69, 0","57.575, 67.7956, 68.9712"
DarkOrange ,Orange,0xFF8C00 ,"255, 140, 0","69.4811, 36.8308, 75.4949"
Orange ,Orange,0xFFA500 ,"255, 165, 0","74.9322, 23.9359, 78.9565"
Gold ,Yellow,0xFFD700 ,"255, 215, 0","86.9286, -1.9243, 87.1373"
Yellow ,Yellow,0xFFFF00 ,"255, 255, 0","97.1382, -21.5559, 94.4825"
LightYellow ,Yellow,0xFFFFE0 ,"255, 255, 224","99.2848, -5.1037, 14.8286"
LemonChiffon ,Yellow,0xFFFACD ,"255, 250, 205","97.6477, -5.4238, 22.2255"
LightGoldenrodYellow ,Yellow,0xFAFAD2 ,"250, 250, 210","97.3688, -6.4781, 19.2287"
PapayaWhip ,Yellow,0xFFEFD5 ,"255, 239, 213","95.0754, 1.2745, 14.5163"
Moccasin ,Yellow,0xFFE4B5 ,"255, 228, 181","91.7221, 2.4422, 26.3519"
PeachPuff ,Yellow,0xFFDAB9 ,"255, 218, 185","89.3488, 8.0889, 21.014"
PaleGoldenrod ,Yellow,0xEEE8AA ,"238, 232, 170","91.1404, -7.3472, 30.9644"
Khaki ,Yellow,0xF0E68C ,"240, 230, 140","90.3273, -9.009, 44.9742"
DarkKhaki ,Yellow,0xBDB76B ,"189, 183, 107","73.3813, -8.7871, 39.2875"
Lavender ,Purple,0xE6E6FA ,"230, 230, 250","91.8277, 3.7138, -9.6716"
Thistle ,Purple,0xD8BFD8 ,"216, 191, 216","80.0773, 13.2236, -9.2389"
Plum ,Purple,0xDDA0DD ,"221, 160, 221","73.3727, 32.5391, -21.9972"
Violet ,Purple,0xEE82EE ,"238, 130, 238","69.6937, 56.3682, -36.8236"
Orchid ,Purple,0xDA70D6 ,"218, 112, 214","62.801, 55.2937, -34.4175"
Fuchsia ,Purple,0xFF00FF ,"255, 0, 255","60.3199, 98.2542, -60.843"
Magenta ,Purple,0xFF00FF ,"255, 0, 255","60.3199, 98.2542, -60.843"
MediumOrchid ,Purple,0xBA55D3 ,"186, 85, 211","53.6422, 59.0725, -47.4148"
MediumPurple ,Purple,0x9370DB ,"147, 112, 219","54.9753, 36.8076, -50.0993"
RebeccaPurple ,Purple,0x663399 ,"102, 51, 153","32.9023, 42.8927, -47.1571"
BlueViolet ,Purple,0x8A2BE2 ,"138, 43, 226","42.1881, 69.8583, -74.7742"
